Title,Year_x,Certificate,Duration,Genre_x,Rating,Metascore_x,Director_x,Cast,Votes,Description,Review Count,Review Title,Review,Poster,Year_y,Rated,Genre_y,Runtime,Plot,Actors,Metascore_y,Director_y,imdbRating,imdbVotes,Awards,Country,Language,BoxOffice
Homefront,1965.0,18,100.0,"Action, Crime, Thriller",6.5,40.0,Gary Fleder,"Jason Statham, James Franco, Winona Ryder, Kate Bosworth","130,567","A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",217,Statham = Last Action Hero,"Now you'd expect the typical reviews for this kind of movie from most critics, ""it's just another mindless action film"" or ""Statham can't act"". Ignore them, If your an action/statham fan you won't be disappointed.If your like me and miss the traditional action films from the past that had Charles Bronson or Chuck Norris, your gonna appreciate and like this movie. Statham is the last action hero of our time. He consistently delivers solid action movies where you know what your gonna get. In Homefront thats some bloody shootouts, great fight scenes and some good one liners. It has a good cast, People may not take James Franco seriously as a villain but it's interesting to see him in a movie like this and he does a good job with it. Kate Bosworth was very believable as a crazed meth head. It has a straight forward, thrilling story that builds the tension nicely to an action packed ending. You don't get these type of movies anymore. These days pg-13 with dumb cgi is what most ""action"" movies are about. The days of the action hero as they once were are dying out, but Statham is their to provide some vintage style action flicks like Homefront which is one of his better films. Overall, whatever your thinking - watch this movie.7/10","https://m.media-amazon.com/images/M/MV5BMTUwOTAzNzAwMl5BMl5BanBnXkFtZTgwOTc1NDIyMDE@._V1_UY209_CR0,0,140,209_AL_.jpg",2013,R,"Action, Crime, Thriller",100 min,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","Jason Statham, James Franco, Winona Ryder",40,Gary Fleder,6.5,"132,079",1 nomination,United States,English,"$20,158,898"
Bride Wars,1965.0,UA,89.0,"Comedy, Romance",5.5,24.0,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg","115,727",Two best friends become rivals when they schedule their respective weddings on the same day.,113,"At a time when women run for Presidency and lead social revolutions, Bride Wars acts like a chauvinistic 19th century relic","What makes me sad about Bride Wars is the fact that it's going to make a lot of money on its opening weekend, and probably double or triple that amount throughout its run. Why anyone would want to submit himself to an over-clichÃÂ©d chick flick that looks and acts like something we've all seen a million times before - only worse - is beyond me. Still, awareness seems to be sky high, with many unwilling boyfriends/husbands destined to be dragged to their local theaters by their mates.At a time where quality films like The Curious Case of Benjamin Button and Slumdog Millionaire are actually making a dent at the box-office, Bride Wars existence baffles me. The story follows two BFF (best friends forever) who decided to have a wedding in June at some fancy plaza when they were little girls. Years later, an unfortunate series of events ends in both the women - still BFF well into their twenties (like duh) - setting their wedding day on the exact same date. From here on out, it's war between the two stereotypical women (one control-freaked blonde, otherwise known as Kate Hudson; and one spineless brunette, known better as Anne Hathaway). Naturally, both ladies live in a perfect world where there's no economic depression and they can each spend an enormous amount of money on this unnecessary war of theirs. Alas, instead of being a decent display of romantic comedy, Bride Wars becomes a shallow and degrading show that implies that with all the progress the feminist movement has made during the past century, women will always be emotional and helpless beings, forever interested in superficial matters. In a time when women aim to run for Presidency and lead social revolutions, this is a real depressing conclusion. Add this to the aforementioned fact that Bride Wars utilizes every clichÃÂ© in the book, and you're better off watching one of the numerous Oscar hopefuls heading your way.I gave it 4 out of 10.","https://m.media-amazon.com/images/M/MV5BMTUyNTg2OTUwN15BMl5BanBnXkFtZTgwNzEzMzg5MTI@._V1_UY209_CR0,0,140,209_AL_.jpg",2009,PG,"Comedy, Romance",89 min,Two best friends become rivals when they schedule their respective weddings on the same day.,"Kate Hudson, Anne Hathaway, Candice Bergen",24,Gary Winick,5.5,"116,912",1 win & 8 nominations,United States,English,"$58,715,510"
Downsizing,1965.0,A,135.0,"Drama, Fantasy, Sci-Fi",5.8,64.0,Alexander Payne,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig","124,907","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",859,Not like the trailer,"If you came to see this movie because of the trailer or because of curiosity of what a world would be like if you were 5 inches instead of 6 feet, then you paid for about 45 minutes. The other hour and a half is a completely different movie that has minimal to do with downsizing and is not what the trailer suggests.","https://m.media-amazon.com/images/M/MV5BNDYxNDQ5OTYxOV5BMl5BanBnXkFtZTgwOTcyODkxNDM@._V1_UX140_CR0,0,140,209_AL_.jpg",2017,R,"Drama, Fantasy, Sci-Fi",135 min,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.","Matt Damon, Christoph Waltz, Hong Chau",64,Alexander Payne,5.8,"128,583",1 win & 16 nominations,"United States, Norway","English, Spanish, Norwegian, French, Korean, Greek, Vietnamese","$24,449,754"
A History of Violence,1965.0,UA,96.0,"Action, Crime, Drama",7.4,82.0,David Cronenberg,"Viggo Mortensen, Maria Bello, Ed Harris, William Hurt","253,194","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",828,"Well, what did you expect?","I read through a lot of these comments, and it seems quite a few people who have given this film a bad rating based their judgment on either the sex scenes, or the gore (or both). Well, it's called ""A History of Violence"", and it's directed by David Cronenberg! What did they expect? The film is, simply put, amazing. Anyone who enjoys Cronenberg's other films will greatly appreciate this one. It speaks on many levels, and I suggest seeing it more than once to fully take it all in. Beautiful performances all around. I felt as though that is how people put in a situation like that would really act. I had a smile on my face the entire film because I have been waiting all summer (or longer) for a film of this caliber, and it was worth it.","https://m.media-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_UY209_CR0,0,140,209_AL_.jpg",2005,R,"Action, Crime, Drama",96 min,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.","Viggo Mortensen, Maria Bello, Ed Harris",82,David Cronenberg,7.4,"257,726",Nominated for 2 Oscars. 37 wins & 84 nominations total,"United States, Canada, United Kingdom, Germany",English,"$31,504,633"
Cars 3,1965.0,U,102.0,"Animation, Adventure, Comedy",6.7,59.0,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion","122,657",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,264,A disgrace to the original Cars,"I am a huge cars fan, I absolutely loved the first movie, the second movie was still really good, but the first was a classic. This movie was an absolute disgrace to the first two. The writers were different and they absolutely destroyed the atmosphere of cars. They brought in way to millennialist stereotypes and decimated the standard set by the first two movies. Things were misquoted from the first movie and characters were poorly developed. Don't waste your time or money.","https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_UY209_CR0,0,140,209_AL_.jpg",2017,G,"Animation, Adventure, Comedy",102 min,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,"Owen Wilson, Cristela Alonzo, Chris Cooper",59,Brian Fee,6.7,"127,834",3 wins & 24 nominations,"United States, Japan",English,"$152,901,115"
Warcraft,1965.0,UA,123.0,"Action, Adventure, Fantasy",6.7,32.0,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","279,235","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",872,A great Fantasy flick,"I didn't have any expectations for this film,and it completely blew me away!Visuals were stunning,acting really surprised me,action was incredible.I really can't wait for the sequel cause the ending set it up really well.Magic was also pretty damn cool.Orgrim was a ferocious bad ass.It was a damn fine film,best of the 2016 dare i say.Bring on more,and it finally broke the video game movie curse!Go see it,you won't regret it!10 out of 10 for me!I think that it will have a good reception from audiences and critics.Warcraft fans will love it.Direction was amazing,one of the best motion capture for a film i've seen,i really hope it does well in the box office and review department cause it was really amazing!","https://m.media-amazon.com/images/M/MV5BMjIwNTM0Mzc5MV5BMl5BanBnXkFtZTgwMDk5NDU1ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",2016,PG-13,"Action, Adventure, Fantasy",123 min,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","Travis Fimmel, Paula Patton, Ben Foster",32,Duncan Jones,6.7,"284,031",2 wins & 3 nominations,"China, United States, Canada, Japan",English,"$47,365,290"
9,1965.0,PG-13,79.0,"Animation, Action, Adventure",7.0,60.0,Shane Acker,"Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer","147,893",A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,216,9 is a 6,"9 is better than average... but only barely.The movie is carried by a unique visual style and a great sense of ""place."" The sack-men (and woman) are refreshingly odd and fun to watch. The post-apocalyptic city is consistently beautiful and dangerous. Desolate without feeling dull.Unfortunately, the story and characters ARE dull. Not crushingly so... but enough to frustrate. Frequent, obvious plot holes and violations of established world-rules pulled me out of the movie over and over again. Tired clichÃÂ©s abound. I wasn't able to shake the feeling that I'd seen and heard this all before.And that's a shame because there's a lot of potential here. If only the writer had taken more chances. Why not challenge the audience and defy expectations? Why make a movie that's too scary for kids but too simplistic for adults? Who is expected to enjoy it? I would watch another Shane Acker movie if one is made (hopefully after he's picked a target audience). But 9 is not a classic.... that said, it's probably worth watching on the big screen just for the sights and sounds.","https://m.media-amazon.com/images/M/MV5BMTY2ODE1MTgxMV5BMl5BanBnXkFtZTcwNTM1NTM2Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2009,PG-13,"Animation, Action, Adventure",79 min,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,"Elijah Wood, Jennifer Connelly, Crispin Glover",60,Shane Acker,7.0,"149,575",9 nominations,"United States, Canada, Luxembourg, United Kingdom, Russia",English,"$31,749,894"
The Farm,1965.0,,80.0,Horror,3.7,,Hans StjernswÃÂ¤rd,"Nora Yessayan, Alec Gaylord, Ken Volok, Rob Tisdale","4,351",A young couple gets kidnapped and treated like farm animals after stopping at a roadside diner to eat meat.,124,45 min 45 seconds in,"Something happened in my mind.It clicked my heart sunk, I looked down at my roasted parsnips, and felt relief that I was eating those.Then I thought about all the meat I have eaten.That's no joke.I think I should change my diet.Seriously.For good reason.Good film.I thought it was weird at 1st until the penny dropping moment for me.","https://m.media-amazon.com/images/M/MV5BZTE3ODA1NmMtZDA2NC00MzhlLWFlOTYtNTg4NDE0OWFkNTNlXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_UY209_CR1,0,140,209_AL_.jpg",2018,Not Rated,Horror,80 min,A young couple gets kidnapped and treated like farm animals after stopping at a roadside diner to eat meat.,"Nora Yessayan, Alec Gaylord, Ken Volok",N/A,Hans Stjernswärd,3.7,"4,535",N/A,United States,English,N/A
Wonderland,1965.0,R,104.0,"Crime, Drama, Mystery",6.5,43.0,James Cox,"Val Kilmer, Lisa Kudrow, Kate Bosworth, Christina Applegate","23,394","In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes.",143,Sam Peckinpah-like version of Boogie Nights,"John Holmes is so famous, he's infamous (as the Three Amigos would say). This is a Rashomon-like story about the events surrounding the Wonderland Murders of the early 1980's, in Los Angeles. The story is pieced together from the retelling of a few of the participants. There is story from the friend's perspective, namely David Lind (played by Dylan McDermott). He is a participant in the robbery assault at Eddie Nash's place (Eddie Nash is a infamous drug dealer - and is the suppose to be the same character Alfred Molina played in Boogie Nights) and is heavily into the drug scene. There is John Holmes' perspective (played by Val Kilmer), which makes him out to be a pawn stuck between two kings (with a severe case of cocaine cravings). There is also the patchwork recollections of John's wife (Sharon - played by Lisa Kudrow) and his girlfriend (Dawn - played by Kate Bosworth) that fill in the spaces between the two stories. It is basically the same time frame that we are looking at, just each character's version. The only thing that is missing is the perspective from the dead people. Paul Thomas Anderson's Boogie Nights portrays John Holmes as a slightly heroic character, with a tragic yet comedic karma. He is a caricature of a real person. He was more of less, a mixed up kid that got what he got through his ""large"" endowment. Director James Cox turns the comedy off and makes this episode in John's life into a nightmare for all of us watching. The details of the real life murders make this movie even more eerie.Val Kilmer took what he learned of Jim Morrison, from the Doors, enhanced the performance for the Salton Sea, and then further enhanced that to bring us the deterioration of John Holmes through cocaine. All of the actors pull off very realistic looking portrayal's of cocaine junkies. Josh Lucas' performance stands out as one of the best in the movie. He plays Ron Launius (I think this character is suppose to be the same as the Thomas Jane character from Boogie Nights). Ron was the leader of the gang, loved having John Holmes around as a novelty and had a cocaine craving like sharks enjoy blood. The cocaine use seems so realistic as to make one think. Did they really use Splenda ?? Where Boogie Nights has a bubblegum pop feel to it (lots of color and 70's nostalgia), Wonderland is dark. The action is fast and furious, with a lot of jumps. It is twitchy and grainy. There is no comedy, just a never ending pace, as if the director is trying to put us into the nervous, fast paced, edgy cocaine high to make us feel what the characters are feeling. This is a graphic movie. It has one of the most intensely violent scenes I have ever seen in a movie. It actually shows the murders themselves (through the eyes of John Holmes at first and then from a third person perspective). It is so graphic, it looks like police evidence of a crime. I had to pause after this scene and remind myself this was just a movie. This movie is definitely not recommended for everyone. I recommend it as a good alternative to Boogie Nights, for those interested in the other sides of John Holmes.-Celluloid Rehab","https://m.media-amazon.com/images/M/MV5BY2YyOWQ2NWUtM2VhYS00MGEyLTg0ZDAtOThiNDcyNWE2NzE4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",2003,R,"Crime, Drama, Mystery",104 min,"In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes.","Val Kilmer, Lisa Kudrow, Kate Bosworth",43,James Cox,6.5,"23,658",3 nominations,"United States, Canada",English,"$1,060,512"
Pitch Black,1965.0,UA,109.0,"Action, Horror, Sci-Fi",7.0,49.0,David Twohy,"Radha Mitchell, Cole Hauser, Vin Diesel, Keith David","253,300",A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.,763,An Excellent use of Sci-Fi as a story telling medium,"While most movies that pit humans against horrendous extra terrestrials end up being cheap imitations of the 'Aliens' series, Pitch Black stands as a fine piece of Sci-Fi, and an excellent movie all around.  Perhaps my favorite aspect of the film is the lighting.  This movie beautifully employs many different colors, shades and intensities of light which set the mood and lend a unique feeling to the film itself, something different than the 'normal' movie lighting we are generally subjected to.  Vin Diesel brings his character to life in an excellent manner, skillfully avoiding the routine portrayal of the hardened criminal.  After all, the film is about Riddick's (Diesel's character) personal journey, so thankfully Vin doesn't drop the ball.  The remainder of the cast (with the exception of the talented and gorgeous Claudia Black) were unknown to me but all turned in marvelous performances, animating the diverse characters with unique quirks and mannerisms.  Pitch Black is a perfect example of making a great film with out the resources of an excessive budget.  The special effects are more than adequate, but at the same time they are by no means the sole focus, as in many high budget 'blockbusters'.  It's a great movie because it uses Science Fiction as a medium to tell an engaging, provoking story, rather then telling a mediocre story to use the flash of Science Fiction.","https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR1,0,140,209_AL_.jpg",2000,R,"Action, Horror, Sci-Fi",109 min,A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.,"Radha Mitchell, Cole Hauser, Vin Diesel",49,David Twohy,7.0,"254,994",2 wins & 9 nominations,United States,"English, Arabic","$39,240,659"
The Book Thief,1965.0,PG-13,131.0,"Drama, War",7.5,53.0,Brian Percival,"Sophie NÃÂ©lisse, Geoffrey Rush, Emily Watson, Ben Schnetzer","142,444","While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.",249,An Understated Classic,"No extended fight scenes. No unnecessary pyrotechnics. Simply a story of ordinary people conducting themselves in extraordinary fashion when faced with the hell of Hitler's Third Reich and World War II. The literary vehicle of Death as the Narrator is a masterstroke, as is the overall emphasis of words/books/art overcoming evil. And it's all done with compassion for children at their best and most vulnerable, and adults bypassing the convention of the era to display kindness, caring and understanding.An understated classic, there aren't enough movies like this being produced.And that's a damn shame.","https://m.media-amazon.com/images/M/MV5BOTE3NzkyMjAyNF5BMl5BanBnXkFtZTgwMDc5MTE0MDE@._V1_UX140_CR0,0,140,209_AL_.jpg",2013,PG-13,"Drama, War",131 min,"While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.","Sophie Nélisse, Geoffrey Rush, Emily Watson",53,Brian Percival,7.5,"143,267",Nominated for 1 Oscar. 9 wins & 17 nominations total,"Germany, United States, United Kingdom","English, German","$21,488,481"
Retribution,1965.0,R,91.0,"Action, Thriller",5.3,43.0,NimrÃÂ³d Antal,"Liam Neeson, Noma Dumezweni, Lilly Aspell, Jack Champion","21,166",A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.,127,I'm convinced ChatGPT wrote the script.,"I don't know where to start.... The dialogues are bad, wooden, and cheesy. The acting is far from enjoyable. The characters are dull and absolutely undeveloped. There is no motivation for the bad guy I can find. The Police and ""Europol"" are far from realistic, and speaking of Europol: this is not a European FBI, as shown in the movies. And of course the way they show Berlin hurts to see. They drive down one street, the next turn he is 20km away in another part of the town.I'm just happy I saw this in a sneak preview with cheap tickets, because if it was a regular screening with full price tickets I would have demanded a refund.","https://m.media-amazon.com/images/M/MV5BNTEwYTMyNmUtNmU5OS00NTg2LTk4ZjEtOGJlZWViMWFlMjY1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",2023,R,"Action, Thriller",91 min,A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.,"Liam Neeson, Noma Dumezweni, Lilly Aspell",N/A,Nimród Antal,5.3,"23,166",1 nomination,"France, Germany, Spain, United States, Canada","English, German","$6,937,696"
Real Steel,1965.0,UA,127.0,"Action, Drama, Sci-Fi",7.1,56.0,Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie","356,205","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",407,Outstanding,"Any movie that gets the audience involved in a positive way and leaving cheering is an excellent movie. It is like Rocky on adrenaline and with a whole lot better acting. Hugh Jackman, Evangeline Lilly and Dakota Goyo all have great performances. Dakota who plays the son really makes the movie, but all the actors performances are great. The guy who thought it boring... well, you lack passion and your soul must be dead. Real Steel is the absolutely hands down best movie I have seen in a long time. You will cheer, cry, laugh and be thoroughly entertained. I had to sit and watched the credits at the end just to catch my breath. Great movie.","https://m.media-amazon.com/images/M/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg",2011,PG-13,"Action, Drama, Sci-Fi",127 min,"In a near future where robot boxing is a top sport, a struggling ex-boxer feels he's found a champion in a discarded robot.","Hugh Jackman, Evangeline Lilly, Dakota Goyo",56,Shawn Levy,7.1,"362,968",Nominated for 1 Oscar. 2 wins & 6 nominations total,"United States, India","English, Ukrainian","$85,468,508"
The Expendables 3,1965.0,UA,126.0,"Action, Adventure, Thriller",6.1,35.0,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas","196,504","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",331,Seems the audience is Expendable,"When the first Expendables was announced, it was supposed to be a throwback to the early years of action cinema - gratuitous violence, one liners and major carnage. The first two films lived up to this. The third is just awful.Instead of spending more time with the aging heroes we've come to love, we get stuck with a bunch of whiny youngsters who don't do anything and aren't very interesting. I seriously doubt the so called ""broader"" audience this film is aimed at are gonna care about it. And the people who were interested in the series are going to be bitterly disappointed. Nice one, Sly!!!Some of the new additions to the cast aren't that bad: Banderas, Snipes, Ford, Grammar, but Gibson completely owns the film - which dies whenever he is not around.How's the action? Instead of being focused and over-the-top like the other two films, we get bland MTV style kills, thanks mainly to the new PG-13 rating. Who thought giving the film this lame rating was a good idea? Hey, lets take a series that is aimed at adults, starring aging action heroes who only the older audience will remember, and turn it into a dumb teen movie where the target audience WILL NOT CARE who they are or what they have done. Surely one of the worst business decisions in recent memory.Newcomer director Patrick Hughes has not done anything with this film, but its really hard to tell if that was intentional or if the PG-13 hack job done to the film has made it bland.Overall, this film is just a waste. Too soft for its hardcore fans, and not ""hip"" enough for its intended young audience. No one will be happy. Sure, it might puts bums on seats for the first week, but it will quickly disappear after that...and with good cause.""What mean Expendable?"" ""It's like when you're invited to a party and don't show up and nobody really cares"".I suspect theater owners are gonna know the meaning of this come August 15.","https://m.media-amazon.com/images/M/MV5BODU5ODMyMzg2MV5BMl5BanBnXkFtZTgwMTA2MTcxMjE@._V1_UY209_CR0,0,140,209_AL_.jpg",2014,PG-13,"Action, Adventure, Thriller",126 min,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.","Sylvester Stallone, Jason Statham, Jet Li",35,Patrick Hughes,6.1,"198,542",2 wins & 5 nominations,"United States, France, Germany, Bulgaria","English, Romanian, Spanish","$39,322,544"
Anna Karenina,1965.0,18,129.0,"Drama, Romance",6.6,63.0,Joe Wright,"Keira Knightley, Jude Law, Aaron Taylor-Johnson, Matthew Macfadyen","106,670","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",245,One Russian's take on the film,"So, it is out Ã¢ÂÂ the film that so far has divided the opinions of the critics and audiences alike. A lot has been said about its theatrics and casting, visual effects and costumes. The trailer alone made me go to see it the first day it was released in London. Despite the misgivings about the casting of the main characters, I was hoping that the opulence of the setting, decorations and costumes would be just enough to make it enjoyable and compensate for any acting mishaps. The film focuses is on the key relationships in the novel taking the bare carcass of the storyline. The result is a mechanical sequence of events, devoid of any depth and humanity and almost clinically cold. Many nuances of the relationships are not explained at all and, had I not read the book many times over, these would have been lost on me. All of the socio-political and ideological issues affecting Russia in the late 19th century, as well as the questions of humanity, faith, religion and the meaning of life, are largely left out. Not only this accentuates the oddly flat quality of the scenario but also, owing to the lack of context, makes certain scenes (e.g. Levin in the country) look oddly standalone. As to the casting... Keira Knightley can be a delight to watch in the right context, i.e. when she can get away with being herself on screen (e.g. ""Bend it like Beckham"" and ""Love actually""). However in the costume/period dramas she makes no allowances for the differences in social behaviours and mannerisms and ends up looking like a flirtatious modern girl at a fancy dress party. In the book Karenina's character is a sophisticated, mature, confident and sensuous woman of high society and rank but also a deeply kind, humane and down to earth person. It is the latter qualities that endear her so much to the fellow book characters and readers alike from the beginning and help us feel the tragedy of her situation so keenly later. Knightley's Karenina is an all-too-young, flighty coquette with no obvious emotional maturity and little sense of decorum gradually developing hysteria which left me torn between incredulity and laughter. I wouldn't normally comment on the physical appearance which should be incidental to a true acting talent but modest chest and bony back sticking out of the impossibly low-cut dress (for the 19th century) add little to the believability of the character. Vronsky, with those blue eyes, blond locks, stiff movements and bland facial expressions reminds more of a china doll than a dark, handsome, charming and intense character that Karenina falls for. Would she fall for this version of Vronsky? Doubt it and neither did I. As for the rest of the cast, the only characters that look vaguely believable (and that taken in the context of the rest of the cast) are those of Kitty and Dolly. Ironically Kitty becomes more so towards the end of the film, when Dolly loses it entirely owing to the dialogue with Karenina at the tea room.Lastly I would like to touch upon a few details of costumes and styling which I find worth of note. I wish the costume designer incorporated the Russian fashions of the 19th century more faithfully. The faÃÂ§ons presented with the backs cut out almost to the waist did not become fashionable (in fact, socially acceptable) until the 20th century. During the time portrayed in the film/novel they would have been scandalous. Lavish jewellery was, indeed, in vogue (although it is the understated elegance of choice so meticulously highlighted in the book that would have been true to Karenina's character). What Karenina wears in this film is unmistakably Chanel 21st century and bears no resemblance to the style or make of the time. I guess one comes to expect at least some product placements as part of the modern film industry and, in the absence of cars/phones/laptops etc in this film, one had to make the best out of what was available. Add to this aristocrats dressed like peasants (Karening in the ice-skating scene), rich landowner styled like a monk (Levin's hair throughout the film) then same landowner donned in a top hat not worn by the people from his ""soslovie"" (social stratum), Betsy and her jaundice coloured dress, Karenina at the theatre in what looks like a wedding dress and ermine stole, Karenin wearing his wedding band on the left hand (instead of the customary right in Russia), Karenina wearing multiple rings (Chanel-style, naturally) on both hands, - was someone confused as to the custom and decided to tick both boxes, just in case??! Classical waltz transformed into anything but, with peculiar hand movements that one critic described as ""beguiling"" but which looked suspiciously like mutual slapping of pesky insects and afforded a great deal more of physical intimacy in public than what was socially acceptable. Russian folk songs sang with strong foreign accent. At least no one in the film tried speaking with the Russian accent and for these small things, Lord, one should be grateful!Overall, I wish I could call the film a drama or, at least, a parody on the 19th century Russian society but, given its omissions and disregard of the cultural or social realities, it is not. For all its pomp and pretentiousness, the film fails to make a single character or scene fully believable, forget about moving or meaningful, and the final result appears to be nothing but a parody on the original effort. Some critics called this film as ""breathtaking"". I agree, it is breathtaking, - breathtakingly awful, that is.","https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_UY209_CR0,0,140,209_AL_.jpg",2012,R,"Drama, Romance",129 min,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.","Keira Knightley, Jude Law, Aaron Taylor-Johnson",63,Joe Wright,6.6,"107,479",Won 1 Oscar. 33 wins & 54 nominations total,"United Kingdom, United States",English,"$12,816,367"
O2,1965.0,,105.0,"Romance, Thriller",8.9,,Raghav,"Prashanth Raj, Ashika Ranganath, Praveen Tej, Raghava Nayak, Prakash Belawadi","6,657","A gripping narrative of a child prodigy who eyes the impossible as a doctor to give a fresh breath of life to life. A mesmerizing tale of ambition, sacrifice and the delicate balance between professional success and personal redemption.",21,Don't even blink!!,"O2 will capture you for an entire of 2 hours, there is not one scene that is insignificant to the movie. Every scene is equally important and plays as hidden hints to the crazy climax in the end. O2 has broken all rules of commercial cinema. Lot of talented individuals have debuted in the film. Including the amazing directors who have put in extra effort into creating something out of the box! Loved the way the movie seamlessly blends science and love. Two concepts that are important to life, yet polar opposites.The music adds serves as the cherry on top this this gripping story. Thoroughly enjoyed the sound design, and the songs!O2 is a must watch especially for the Kannada audience that have been waiting for something new and something refreshingly different!!","https://m.media-amazon.com/images/M/MV5BOGE0M2M5ZjUtZmY5NS00Y2FhLWE2MDYtZDIzOGY5MGU5ZDAyXkEyXkFqcGdeQXVyMTIwNzcyNDg0._V1_UY209_CR13,0,140,209_AL_.jpg",2024,N/A,"Romance, Thriller",105 min,"A gripping narrative of a child prodigy who eyes the impossible as a doctor to give a fresh breath of life to life. A mesmerizing tale of ambition, sacrifice and the delicate balance between professional success and personal redem...","Ashika Ranganath, Praveen Tej, Raghava Nayak",N/A,"Raghav, Prashanth Raj",7.7,"7,808",N/A,India,Kannada,N/A
