"Title","Year","Certificate","Duration","Genre","Rating","Metascore","Director","Cast","Votes","Description","Review_Count","Review_Title","Review","Poster"
"Shogun Assassin","2016.0","","85.0","Action, Adventure","7.3","","Robert Houston","Kenji Misumi, TomisaburÃÂ´ Wakayama, Kayo Matsuo, Minoru ÃÂki, ShÃÂ´gen Nitta","11,264","When the wife of the Shogun's Decapitator is murdered and he is ordered to commit suicide by the paranoid Shogun, he and his four-year-old son escape and become assassins for hire, embarking on a journey of blood and violent death.","92","I worked on this movie as sound engineer","I was working for Mark Lindsay at wonderland, when the project fell in his lap. most of the additional soundtrack was performed on a Prophet 5 synthesizer along with a jupiter 8 keyboard. the zings and sound effects as weapons are used was created on a EMU (a wall sized synthe made of individual modules) and was recorded on a Trident flexymix console. Michael Lewis and Mark Lindsay worked so cohesively as if they were one and the same. The working title for one of the longer songs was ""chinks in armor""this movie was banned in 1983 in the USA because of the scene where wet and freezing the three travelers huddle together naked an the little boy flicks the nipples of the fem fatal and the nipple gets hard. fairly risquÃÂ© for the time.years later the only place i could get a copy was from England.","https://m.media-amazon.com/images/M/MV5BZWE5NTZjMWQtNWVmZC00ZmIzLWExNzEtMWMxMjMxNmU2OTEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
"We Summon the Darkness","2016.0","A","91.0","Horror, Music, Thriller","5.2","55.0","Marc Meyers","Alexandra Daddario, Keean Johnson, Maddie Hasson, Amy Forsyth","11,912","Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.","180","Never have I ever heard Cliff Burton mentioned this much","It's the late 80s. Three young, attractive girls head to a rock concert and meet a few seemingly harmless metalheads. After playing a drinking game of ""never have I ever ..."", the evening doesn't quite go to plan ...It has elements of Red State and 68 Kill but probably not quite as good as either movie. It is, however, well written and acted and the characters are likeable and interesting, so I found myself enjoying it throughout. It doesn't get too dark; the mood remains tense but hardly nerve-shredding and the gory scenes are in-keeping with the general vibe, ie. it's not gross-out horror.The ending is perhaps a bit less well-coordinated than the rest of the movie but reasonably decent all the same.It's a good light-horror popcorn flick with tension and laughs in the right places and will probably prove popular.","https://m.media-amazon.com/images/M/MV5BODQ4NDhmNTctZmMwMi00ZjI0LTlkNjEtMTRjOTA1N2JkODM1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Ban Chao Buchayan","2016.0","","124.0","Horror, Mystery, Thriller","6.6","","Sophon Sakdaphisit","Nittha Jirayungyurn, Sukollawat Kanarot, Thanyaphat Mayuraleela, Penpak Sirikul","3,530","Inspired by terrifying true events. The new tenants of a house start terrorizing the owners of the place they rent, looking for their next prey to sacrifice.","14","A wonderful coincidence and a very pleasant surprise","A wonderful coincidence and a very pleasant surprise A very interesting movie and it was a wonderful surprise for me.It is the evening movie par excellence.A wonderful coincidence and a very pleasant surprise A very interesting movie and it was a wonderful surprise for me.It is the evening movie par excellence A wonderful coincidence and a very pleasant surprise A very interesting movie and it was a wonderful surprise for me.It is the evening movie par excellenceA wonderful coincidence and a very pleasant surprise A very interesting movie and it was a wonderful surprise for me.It is the evening movie par excellence.","https://m.media-amazon.com/images/M/MV5BNTk3MTI5ZDUtMDBmZC00OWE0LThjYjAtZGY2OTgxMzE5NjM2XkEyXkFqcGdeQXVyMTUzOTcyODA5._V1_UX140_CR0,0,140,209_AL_.jpg"
"Transfusion","2016.0","R","106.0","Action, Crime, Drama","5.0","","Matt Nable","Sam Worthington, Matt Nable, Phoebe Tonkin, Edward Carmody","3,153","A former Special Forces operative thrust into the criminal underworld to keep his only son from being taken from him.","30","How to bore one to death instead of shooting them","I really tried, really .... The start of the movie immediately showed 2 things : the quality is a B movie instead of a movie with a star like Worthington : pale colours and most irritating continuing monotone background music. After 15 mintutes, the movie did not showed anything but a boring,; boring, boring kid and his boring father that acts boring towards his boring pregnant wife ... I do not understand why Mr Worthington accept to play in this kind of boring movies, except if you want to help people suffering insomnia ... Anyway, i did one good thing : I did not watch the movie till the end and I'm happy not to have wasted the full.106 minutes of my life.","https://m.media-amazon.com/images/M/MV5BOTA3YmJlOGEtYjZjMC00MTEzLWIzZTEtYjBkZGU5NjA1YTVkXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Beasts of the Southern Wild","2016.0","PG-13","93.0","Adventure, Drama, Fantasy","7.2","86.0","Benh Zeitlin","QuvenzhanÃÂ© Wallis, Dwight Henry, Levy Easterly, Lowell Landes","85,119","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","230","magical, thought-provoking, very, very watchable","I can understand how most people view this film within the context of Hurricane Katrina. But even as a former denizen of the Gulf coast who sat out Alicia, Claudette, Allen, Rita, and Ike, I view this film in a much, much larger context. It goes beyond stereotype and into archetype -- the denizens of the Bathtub aren't poor drunks at the mercy of the environment, they are The People of the world they inhabit. Hushpuppy doesn't have a drunk father, she has a Father, with many of the faults and strengths of the immortal epic heroes -- anger, pride, genuine love and concern. Hushpuppy herself isn't just a little girl, she is The Child -- the purveyor of a magic which is real, intimately connected with her world, imaginatively linked with All Things. The outside world is a place of Things and Machines, of paperwork and rules -- and is never actually named, you see, because that would diminish it. Everything in this film exists within the realm of archetype, and if you watch it with that in mind, its multiple messages take on cosmic significance. Beautifully shot, beautifully acted -- it's going to take a few more days for the entire thing to completely sink in. Outstanding!","https://m.media-amazon.com/images/M/MV5BMTgxNDM5MDM1Ml5BMl5BanBnXkFtZTcwOTYwNzQ3Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"1984","2016.0","","132.0","Drama, Sci-Fi","6.1","","Diana Ringo","Aleksandr Obmanov, Vladimir Ivaniy, Aleksey Sharanin, Diana Ringo","60","A totalitarian regime governs society, restricting freedoms. Propaganda and surveillance are omnipresent. A mathematician engages in a forbidden relationship and joins a resistance movement against the oppressive ruling party.","4","""1984"" - A Dystopian Masterpiece Resurrected by Diana Ringo","The new feature film ""1984"" by visionary director Diana Ringo emerges as a captivating reinterpretation of George Orwell's classic novel. This cinematic gem not only breathes new life into Orwell's seminal work but also pays homage to Evgeny Zamyatin's ""We,"" a novel that undoubtedly influenced Orwell's dystopian vision.""1984"" transcends the boundaries of a mere adaptation; impeccable visual imagery, stellar performances, and a haunting musical score. The result is a gripping drama interwoven with elements of black comedy, a refreshing take on Orwell's somewhat dated narrative.The film catapults us into a future United State dominated by the omnipotent Big Brother, where technological progress coexists with societal alienation, dilapidated streets, and synthetic sustenance. Here, imagination is suppressed, deemed a societal ailment. Diana Ringo deftly navigate this dystopian landscape, infusing it with a fresh and contemporary relevance.At the heart of the narrative is the brilliant portrayal of the main character, D-503, by Aleksandr Obmanov. His nuanced performance captures the essence of a man torn between conformity and the yearning for individuality, adding layers of complexity to the character. Opposite him, Sergey Khrustalev delivers a compelling performance as the investigator, unraveling the mysteries of this dystopian society with a captivating intensity.Cinematographically, ""1984"" is a visual feast. Diana Ringo employs a unique and artistic approach, creating a visual language that perfectly complements the narrative. The juxtaposition of sleek technological advancements against the backdrop of grimy streets and the prohibition of fantasy paints a vivid picture of a society teetering on the edge of its own demise.The film's exploration of themes such as surveillance, conformity, and the suppression of individuality resonates strongly in today's world, making ""1984"" not just a nostalgic homage to the past but a poignant reflection of our present and potential future.While the 1984 adaptation from nearly six decades ago painted a bleak portrait of a society reminiscent of a communist-like totalitarian state, Diana Ringo's ""1984"" introduces a fresh perspective. It embraces the technological strides of our time while preserving the essence of Orwell's cautionary tale against the erosion of human autonomy.""1984"" directed by Diana Ringo is a cinematic triumph, a thought-provoking and visually stunning masterpiece that breathes new life into a classic while paying homage to the literary influences that shaped it. This film is a must-watch for those seeking a captivating exploration of dystopia, societal control, and the enduring power of human spirit in the face of oppression.","https://m.media-amazon.com/images/M/MV5BNDYyNzNmODctMzA5NS00ZGNiLWJjM2MtMzVmNzk2MGVhNmYzXkEyXkFqcGdeQXVyMjUyNzM5MDA@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Tom and Huck","2016.0","PG","97.0","Adventure, Comedy, Drama","5.5","","Peter Hewitt","Jonathan Taylor Thomas, Brad Renfro, Charles Rocket, Eric Schweig","11,674","Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.","28","Classically Prejudice...","It's an awful presentation, the original tale isn't much better - who do these injuns think they are acting as if they own the place. Curious that Mark Twain didn't use someone of white western European descent for his antagonist. Sadly makes this and him a statue that belongs in a museum.","https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Fragmentos de Amor","2016.0","","100.0","Drama","5.5","","Fernando Vallejo","AngÃÂ©lica AragÃÂ³n, Angelica Blandon, Laura Aleman, Mauro Mauad","442","A woman shares stories of her previous lovers with her present lover and makes him a one those 'fragments' of her love.","1","Fragments = episodes","Rodrigo is a composer/piano tuner who had a wife (or girlfriend) walk out on him, and he really hasn't recovered. He no longer composes though. He lives with his mother and when she learns he has someone, says he is better off losing that other woman. One day as he was walking, there was a big explosion (terrorist) and he rescues a young woman, and tends to her wounds. She is Susana, and at first he cannot succumb to her advances. She starts to tell him stories of all the affairs she has had in the past, and together they form a love between them. But he is always troubled by her seemingly free nature and wonders if he will become a story to be told to another man. If one has figured where the story is going, they may or may not be correct. It is the story of an inhibited man and a woman who is more or less a free spirit. It is an OK movie, but not really great or compelling.","https://m.media-amazon.com/images/M/MV5BOThlYWZiNWUtZGEwMS00OTkxLWFkNDAtOTg0M2Q2MzAxOTA4XkEyXkFqcGdeQXVyNzc4NTc3ODU@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Arabella l'angelo nero","2016.0","","89.0","Drama, Mystery, Romance","5.3","","Stelvio Massi","TinÃÂ¬ Cansino, Valentina Visconti, Francesco Casale, Carlo Mucari","790","Arabella is a nymphomaniac. One day, her writer husband finds her with another man. She has a strange reaction: Arabella kills her lover.","13","Kinky giallo.","Tina Cansino plays Arabella,an extremely sexy and devoted wife by day and a horny prostitute by night!Turns out that she's doing her nightly activities for her invalid husband in order to get realistic details for his upcoming bestseller novel.Unfortunately the black gloved scissor-wielding killer is butchering and castrating anyone that can link Arabella to her decadent behaviour.Lesbian inspector Valentina Visconti tries to stop the series of slayings...Pure sleaze Italian style!""Arabella,the Black Angel"" is a crazy and misogynistic giallo with silly twists and turns.There's a lot of graphic sex,copious frontal nudity,rape and gore.The plot is ludicrous and is mainly an excuse to show tons of naked female flesh.A must-see for fans of Italian exploitation-it's a crying shame that fully uncut version is so tough to find.","https://m.media-amazon.com/images/M/MV5BMTM4NGJmNWQtOTUxZS00MjZiLTk3ZGItZGM3ZTg1MTliYTRjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"L'uomo che disegnÃÂ² Dio","2016.0","","100.0","Drama","5.6","","Franco Nero","Kevin Spacey, Faye Dunaway, Franco Nero, Robert Davi","400","A blind artist with the gift of creating true-to-life portraits rises to fame but later falls from grace, leading him on a journey to rediscover his dignity and escape the noisy world of media where imperfections are simply removed.","0","","","https://m.media-amazon.com/images/M/MV5BYjBkNDdkOTctODhlNy00M2QwLTljZTEtZmI4NmY5ZGFmY2EzXkEyXkFqcGdeQXVyMTAxNTQxMDk3._V1_UY209_CR3,0,140,209_AL_.jpg"
"A Kind of Murder","2016.0","R","95.0","Crime, Drama, Mystery","5.3","50.0","Andy Goddard","Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser","8,627","In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.","49","Hints of De Palma but then the story ends up going nowhere","This was a beautifully shot film and at points I thought I was watching a Brian De Palma film, but all of that went out south in the last ten minutes.The story had built up nicely and I was salivating at the prospect of a wild twist of an ending. The cast and the acting were all top notch and it held up nicely as the period piece it intended to be, but then things started going haywire and it all just fell apart.It really seemed as if the movie perhaps ran out of money in the budget and then they just slapped together some incoherent garbage and called it a day. There has to be some explanation. I mean, the first hour plus of the movie was really well done so what the heck happened? It's a shame too because with the right editing it could have been great.","https://m.media-amazon.com/images/M/MV5BMjAwNDA1NjcwN15BMl5BanBnXkFtZTgwMDY0MDA2MDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
"London Boulevard","2016.0","R","103.0","Crime, Drama","6.2","52.0","William Monahan","Colin Farrell, Keira Knightley, Ray Winstone, David Thewlis","50,388","An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.","97","You wouldn't believe how underrated this movie really is...","It just kills me that once again I had the (un)fortunate chance to trust someone with an answer to a simple ""Is it any good?"" question. People all around me were bashing this movie before I watched it and I heard so many things. I heard it stole the plot from Carlito's Way, I heard the ending was disappointing, I even read comments like ""Keira Knightley has no tits and less talent"". The only thing I'm disappointed of is myself for believing all of these s... tuff. Yet I'm kind of glad I read and heard all the negative responses, because it caught me off guard even more than it probably would've if I'd seen it without somebody's thoughts.The acting and script were superb. Knightley's performances almost made my heart skip a beat, Farrel's teeth grinding and weird expressions got me all worked up about his problems, Winstone was giving me the creeps and Thewlis got me laughing out of my breath. ""I'm an actor - I can feel anything about anything"". Great script, superb acting - if you're a fan of one of the actors in here, a fan of British cinema, a fan of the crime genre or a fan of quality pictures in general - this is the movie for you. Oh and remember - when it comes to art and judgement - trust ONLY yourself! You owe it to yourself to go see this movie! 10/10","https://m.media-amazon.com/images/M/MV5BMjA1OTk2NTI4NF5BMl5BanBnXkFtZTcwOTA5NTE5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"The Gunman","2016.0","R","115.0","Action, Crime, Mystery","5.8","39.0","Pierre Morel","Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem","43,422","A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.","147","A solid 7 leaning 8 for a ""realistic"" action film.","This is my first review. I have finally gotten tired of fake reviewers and haters rating films poorly because they don't like the actor and likely never saw the film. Reviewers are offended because he was working outside without a shirt on or because his shirt sleeves were short? Give me a break. I've seen plenty of 1 and 2 star movies, but, this was not one of them.What I want to know from a review is whether or not a movie is worth watching. I do like action films and I don't dislike Sean Penn. This review comes from that angle.You're not going to find cars jumping between sky scrapers, people falling 100s of feet and walking away or phony cliffhangers in this film. What you will find is an attempt to show necessary action in a mostly realistic way.Sean Penn's role is more like Rambo than Superman. The action was original, clever and well executed. The dialogue was realistic and the acting was believable.The only reason I didn't give it an 8 or 9 is because I felt it tried to do too much in too little time. That having been said making the movie longer wouldn't have worked because it would have taken 5 hours to do it right. The first 20 minutes could have been its own 2 hour film.That having been said it all made sense. I didn't leave the theater wondering why or how anything happened. I would have cut several of the longer scenes short in order to tell more of the back story.If you are looking for something fun to do on a Saturday afternoon you won't go wrong by seeing this film.","https://m.media-amazon.com/images/M/MV5BMTk5NTYzMDAxOF5BMl5BanBnXkFtZTgwNjY3NzMwNDE@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Vikram","2016.0","UA","175.0","Action, Crime, Drama","8.3","","Lokesh Kanagaraj","Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain","74,539","A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.","608","Overdose of everything except logic","Watched it solely because of the reviews, but senseless violence from beginning to end, without any sense.Copied key themes from equaliser, project power and many Hollywood movies to end up as a projection of majority of movie goers today. Call a spade a spade, submit your honest reviews in future..Only problem is there might be a second part coming..","https://m.media-amazon.com/images/M/MV5BMDRiOWNjYjUtMDI0ZC00MDMyLTkwZDItNTU5NWQ1NjEyNGYxXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UX140_CR0,0,140,209_AL_.jpg"
"The Raven","2016.0","A","110.0","Crime, Mystery, Thriller","6.4","44.0","James McTeigue","John Cusack, Alice Eve, Luke Evans, Brendan Gleeson","88,332","When a madman begins committing horrific murders inspired byEdgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.","169","Absolutely Brilliant!!","Do not listen to the negative reviews because this movie is brilliant. I think the main problem is that people maybe went into this movie expecting a horror movie.The portrayal of Poe is absolutely fantastic, John Cusack did a fantastic job he is a great actor and this one has to be my favourite role that he has played.The movie has a great pace to it. Your at the edge of your seat the entire time, the thing is though if you haven't read any Edger Allan Poe stories you might have a hard time understanding it, but it doesn't matter weather you have read them or not because the movie is absolutely brilliant. It has its intense moments but honestly you can't take your eyes off the screen it keeps you guessing whats going to happen next.Don't listen to the negative reviews, this movie is a must-see.","https://m.media-amazon.com/images/M/MV5BNTU4OGY5MjYtNTg5Zi00NGEyLTlhYTgtMTU3NzBmYmMzYWU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
"A.I. Rising","2016.0","R","85.0","Drama, Romance, Sci-Fi","4.9","","Lazar Bodroza","Sebastian Cavazza, Stoya, Marusa Majer, Kirsty Besterman","11,311","An intimate relationship between a human and an android tests the boundaries of human nature.","112","Bland and derivative","I'll try to be as objective as possible, therefore even though I am from Serbia I won't give this movie a pass ""just because it's ours"" or because of its' small budget. Also, no spoilers.At first I was very surprised by the visuals - the movie started and it looked genuinely good...at first, before you realize that the filmmakers had only 2, maybe 3 small sets and that the film is visually very repetitive (even some of the same shots are used multiple times). That in itself isn't such a huge issue, seeing how there are plenty of films that take place in a single location but they compensate for their visual simplicity with an interesting story and engaging performances, something that's very much lacking here. As for the visual effects, they are ok by early 2000s standards.The music was good and well implemented. The standout piece for me is Arvo Part's ""My Heart's in the Highlands"" which was also used in ""The Great Beauty"" (a good film worth checking out if you're not into conventional films or if you're a fan of Fellini).The performances are not great. Sebastian Cavazza's performance as the astronaut Milutin is either bad or at best mediocre (I don't know if I can blame him, the director or the poor script for that). Milutin has no real depth and I struggle to describe his personality beyond saying that he's an astronaut with a gruff voice who swears a lot and is horny (oh, and a bit sad, I guess). At one point in the movie we are told that he's severely depressed and if it weren't for that line I would have never guessed that that's where he's at emotionally, you just can't feel it. The few times Cavazza tries to convey emotions that aren't anger and frustration his performance is borderline laughable. Stoya, who plays the part of Nimani, did her job...ok. She plays the part of an emotionless android with a few preprogrammed emotional settings well enough, nothing noteworthy though.The story is very derivative. If you've seen a film that deals with AI than there's nothing here that you haven't seen before and done way better. The plot is bare bones and shallow with plenty of meandering (albeit aesthetically pleasing) shots of the same 2 (or 3) sets of the ship or of Nimani standing/sleeping/levitating around the ship - shots that don't progress the plot in any way or give any information to the viewer - they're just there to stretch the runtime of the movie. The questions this film raises are raised in other, better movies/TV shows (most notably ""Her"", ""Ex Machina"", both ""Blade Runner"" movies and ""Westworld"") and done so with more nuance. If you're someone who just wants to watch a movie to pass the time you'll probably find this movie boring and bland, on the other hand if you're someone who wants to experience a deep and meaningful film you'll find it lacking as well.","https://m.media-amazon.com/images/M/MV5BN2I1M2Q2MWUtM2M3MS00MGVhLTkyNjktMmY5NGE4ZmM1ODE4XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Dead Reckoning","2016.0","","100.0","Crime, Drama, Film-Noir","7.1","51.0","John Cromwell","Humphrey Bogart, Lizabeth Scott, Morris Carnovsky, Charles Cane","8,769","A soldier runs away rather than receive the Medal of Honor, so his buddy gets permission to investigate, and love and death soon follow.","80","Postwar Bogart in a Derivative Yet Gripping Film Noir","If Humphrey Bogart had ever decided to film one of Mickey Spillane's Mike Hammer thrillers, it would have turned out something like 1947's DEAD RECKONING. Although it's not actually based on a book, John Cromwell's tautly-directed film noir owes more than a little of its plotting and characterization to earlier classic crime novels-turned-classic Bogart movies. Indeed, when my husband Vin entered the room while the film was on, he began watching it with me and soon asked, ""Is this THE BIG SLEEP, or THE MALTESE FALCON?"" However, DEAD RECKONING is steeped in the kind of bitter post-war viciousness that distinguished Mickey Spillane's writing -- not that there's anything wrong with that! :-) Bogart commands the screen as Rip Murdock, a former Army paratrooper (lots of colorful references to parachutes and jumping here) and one of the most misogynistic good guys he ever played (not that you can blame Rip, after the wringer he's put through in this film). Captain Rip starts out trying to find out why his Sergeant and pal Johnny Drake (William Prince) has a Yale pin with the name ""John Joseph Preston"" on it, and more importantly, why Johnny bolts rather than accept the Congressional Medal of Honor for his wartime heroism. Rip's investigation leads him to Gulf City, Tropical Paradise of the South (don't take my word for it, check out the neon sign in the upper right-hand corner of the screen in the opening establishing shot :-), where he's quickly sucked into a whirlpool of secrets, double-crossing, murder, and such inventive mayhem as tossing napalm-powered Molotov cocktails at sinister smoothie Morris Carnovsky and his psycho henchman Marvin (THE MILLIONAIRE) Miller to make them talk. Standing in for quintessential Bogart leading lady Lauren Bacall (and original leading lady Rita Hayworth, who was hung up making THE LADY FROM SHANGHAI) is Lizabeth Scott as mysterious chanteuse Coral Chandler, the kind of dame guys go gaga for against their better judgment (she's got so many pet names from her various beaus that the first time I saw the film, I wasn't quite sure if her name was ""Coral,"" ""Dusty,"" or, of all things, ""Mike""!). While Scott's no Bacall (don't get me wrong, Scott fans, I like her, but to my ears, her husky voice always sounds more phlegmy than sultry. Every time Scott speaks, I half-expect someone to offer her a cough drop!), she's certainly chock full of luminous blonde beauty, plus Scott has an air of wounded vulnerability that makes me empathize with her in spite of myself. Sometimes the film is gloriously, deliriously nutzoid. For instance, Bogart's speech to Scott early on about how men should be able to reduce women to pocket-size when necessary, and Scott's interpretation of this theory, must be heard to be believed. But when DEAD RECKONING works, it's dynamite (literally, when Bogart and Scott join forces with safecracker/explosives expert Wallace Ford)! Even when things get ugly, this movie is always gorgeous to look at, thanks to the stunning use of shadows and light in Leo Tover's black-and-white photography. If you love Bogart and you like your film noir grim yet glamorous and over-the-top at times, DEAD RECKONING is well worth a look.","https://m.media-amazon.com/images/M/MV5BYzc5ZGQxMDUtNDY1NS00ZmQzLWIyYzYtZGJmNzA3MjJjNzhjXkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"The Intruder","2016.0","A","102.0","Horror, Thriller","5.6","39.0","Deon Taylor","Michael Ealy, Meagan Good, Dennis Quaid, Joseph Sikora","19,641","A young married couple buy a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property.","315","Loved it","The people who are giving this movie such low ratings obviously go to movies to just pick apart every little detail instead of just watching and enjoying it for what it is, a fictional movie. These wannabe movie critiques like to insult people like me who just want to enjoy a simple little movie and not act like it's my life's mission to find every little minor detail that was flawed. Ok now with that being said, I really enjoyed this movie. It had me glued to the screen the whole time, and omg Dennis Quad's performance was worth the price of admission, creepy times 10. If you're expecting an Oscar winning movie, definitely not it..if you just want to see a fun little movie that had a few good jump scares and one creepy man..this is the movie for you.","https://m.media-amazon.com/images/M/MV5BNTczMzc4NDY0MF5BMl5BanBnXkFtZTgwMjI3Njg3NjM@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Treasure Island","2016.0","","96.0","Adventure, Family","6.9","89.0","Byron Haskin","Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald","9,488","The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.","62","If you liked ""Pirates of the Caribbean"", you owe it to yourself to see ""Treasure Island""","I saw this film as a child and enjoyed it, but when I watched it again tonight with my children, I absolutely loved it.  My two oldest daughters are big fans of ""Pirates of the Caribbean."" They immediately recognized Robert Newton's brilliant performance as Long John Silver as the inspiration for Geoffrey Rush's equally delightful turn as Captain Barbossa fifty years later.  Newton steals the show with his characterization of the famous pirate, yet does so without distracting one from the story.A half century has not robbed this film of any of its charm; it remains one of the great pirate films of all time.  Grab a bowl of popcorn and fire up your DVD player.  Treasure Island is the real thing!","https://m.media-amazon.com/images/M/MV5BYzFlMzUxN2UtNGJhMi00NjJkLTk0M2YtNjk5NjRlN2YxNTgxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Beyond the Law","2016.0","R","108.0","Crime, Drama, Thriller","6.4","","Larry Ferguson","Charlie Sheen, Linda Fiorentino, Michael Madsen, Courtney B. Vance","7,777","An undercover cop joins a murderous, arms-dealing biker gang to try to put them behind bars.","44","Behind the Scenes - Working with Charlie Sheen","It was fun making this movie with Charlie as his stand-in again (did the same for Hot Shots!). Shooting it in reverse (long hair first, then short hair scenes later), sitting next to him with his pearl handled matching 45's he asks me ""What do you think of this Movie, Phil?"". He was always very nice and cordial to me. When I went back to the production office one day (me with long hair and him with short hair) he passes me (after shooting for days with both of us in long hair) and says ""How's it going, Phil?"". I didn't recognize him! Shooting the scenes for the ""Sonora"" bike run were intense! We had one of the leading outlaw motorcycle gangs respond to our casting call and they spent the night on location so they could be in the front of the pack. Lots of other extras as bikers (""Weekend Warriors"" - aka Lawyers, Engineers etc. all dressed out on their shiny HD's and brand new leather!), also showed up (took their place behind the Gang). I worked Security that day (no need for a stand-in if the Actor isn't on set), and had a few ""extra"" bikers come riding past me to get off the set saying they were afraid of or had been threatened by the Gang members. Probably mouthed off to some of the Gang! A fun group to work with including Reno Thunder (Native American) who I miss today! The quintessential ""Native"". We did the ""Jail"" scene next to each other over and over and over! As I said, Charlie (and Linda) were very kind and nice to me. Great to work with/for.Phil Bautista, Austin TX","https://m.media-amazon.com/images/M/MV5BNTM0NmEzNzAtYmUzNC00ZDFiLWExNzctYjc4ZWJjOTc0MjIyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Megalomaniac","2016.0","","100.0","Horror","5.6","","Karim Ouelhaj","Eline Schumacher, Benjamin Ramon, HÃÂ©lÃÂ¨ne Moor, Wim Willaert","991","Megalomaniac questions the invisible line between victim and executioner and how it is crossed. A film about the weight of patriarchy and the illusion of Manichaeism.","9","A tedious parade of misery","Urgh. This year's seeking profundity by brutalising young women effort.Clearly talent in front and behind the camera, all completely wasted on a tick box exercise in outrage - the aforementioned misogynist violence (and some of it is indefensible), rape, incest, auto cannibalism and so on and so forth.Striving for the heights of Kieslowski or Haneke and falling down because everything it does has been done before and can only be that shocking once or twice but here we are 20 years later with people attempting to pull the wool with the same old shtick.I didn't hate it but it profoundly bored me.","https://m.media-amazon.com/images/M/MV5BZDkzOTVlNzItYTc4Ni00Y2FiLWFlZjYtMjM0Zjk0YmFiM2I0XkEyXkFqcGdeQXVyMzkzMDY3OTM@._V1_UY209_CR1,0,140,209_AL_.jpg"
